filename,actual_visible_state,verdict,visual_findings
01_menu_mainmenu.png,Main menu,KEEP,"State doğru. Güçlü hero kare; arka plan, logo ve ana seçenekler okunuyor."
02_menu_settings.png,Main-menu settings,KEEP,State doğru ve okunur. Sunumda ayarlar/erişilebilirlik kanıtı olarak kullanılabilir.
03_menu_characterselect.png,Character select,KEEP_SECONDARY,"State doğru; 10 karakter hattı görülüyor. Ancak seçili karakter hem büyük hem küçük tekrar ediyor, kilitli karakterler karanlık ve ekran prototip hissi veriyor."
04_fullflow_arena_opening_draft.png,Skill draft / opening reward,KEEP,"State doğru ve güçlü. Kartlar, rarity, açıklama ve synergy chip okunuyor."
05_combat_empty_fullhp_hud.png,Actually skill draft,RECAPTURE,Dosya adı yanlış. Ekranda combat/HUD değil açık ödül seçimi var.
06_run_map_branching_open.png,Actually skill draft,RECAPTURE,Run-map görünmüyor; 05 ile semantik olarak aynı ödül seçimi.
07_pause_menu_open.png,Pause menu over death screen,RECAPTURE,"Pause menüsü doğru, fakat arka planda ölüm ekranı ve retry/main-menu butonları görünüyor. Canlı gameplay üstünde yeniden çekilmeli."
08_settings_overlay_gameplay.png,Settings over death screen,RECAPTURE,"Settings overlay var, fakat gameplay değil ölüm ekranının üstünde."
09_codex_skill_codex_open.png,Skill codex,KEEP,"State doğru ve güçlü. Sınıf sekmeleri, skill listesi ve rarity/cooldown bilgileri görünüyor."
10_character_sheet_tab.png,Death screen,RECAPTURE,Character sheet yok. KILLS 0 / SÜRE 00:00 ölüm ekranı var.
11_combat_multi_enemy_5mobs.png,5 mobs spawned behind death screen,RECAPTURE,Beş mob görünüyor fakat oyun ölüm ekranında. KILLS 0 / SÜRE 00:00; gerçek combat kanıtı değil.
12_combat_enemy_attack_projectiles.png,Telegraph circles behind death screen,RECAPTURE,Ölüm ekranı aktif. Kırmızı alanlar var ama belirgin projectile ve canlı saldırı akışı görünmüyor.
13_combat_player_lmb_vfx.png,"Death screen, no clear LMB VFX",RECAPTURE,Oyuncu basic-attack VFX'i görünmüyor; ölüm overlay'i ekranı kaplıyor.
14_death_screen_enemy_kill.png,Death screen,KEEP_SECONDARY,State doğru. Yalnızca ölüm ekranı kanıtı olarak tutulabilir; combat kanıtı değildir.
15_hud_mid_hp.png,Skill draft,RECAPTURE,Mid-HP HUD görünmüyor; ödül seçimi açık.
16_hud_low_hp_vignette.png,Skill draft,RECAPTURE,Low-HP HUD/vignette kanıtı değil; ödül seçimi açık.
17_director_tab_spawn.png,Skill draft,RECAPTURE,Director spawn sekmesi görünmüyor; ödül seçimi açık.
18_director_tab_class_skill.png,Director Class & Skill tab,KEEP,State doğru. Runtime skill/tooling kanıtı olarak güçlü.
19_director_tab_stats_phys177.png,Director Stats tab,KEEP,State doğru; Fiziksel Güç 177 görünür. Runtime stat mutation kanıtı.
20_director_tab_prop_build_placed.png,"Director Build tab, placed count 1",KEEP_SECONDARY,"State doğru; placed count 1 yazıyor. Prop sağ kenarda kısmen kırpılmış, hero kare değil."
21_director_tab_map.png,Director Map tab: 'yakında',REMOVE,"Kare bitmiş özellik değil, 'yakında' placeholder'ını kanıtlıyor. Sunuma konmamalı."
22_director_tab_telemetry.png,"Telemetry tab, all zero",RECAPTURE,Sekme doğru fakat bütün sayaçlar 0. Tooling işlevini kanıtlamıyor; combat sonrası non-zero veriyle yeniden çekilmeli.
23_director_freecam_shifted.png,Actually Director Spawn tab,RELABEL,Free-cam değişimi görünür değil. Kare Director Spawn sekmesi olarak yeniden adlandırılabilir.
24_buildmode_entry_prop_palette.png,Build Mode prop palette,KEEP,"State doğru ve güçlü. Grid, palette ve prop kategorileri görülüyor."
25_buildmode_prop_placed.png,Build Mode says 'Placed Pillar',RECAPTURE,Yerleştirme log'u var fakat sahnedeki yeni prop görsel olarak ayırt edilemiyor. Önce/sonra net delta gerekli.
26_buildmode_tile_tool.png,Build Mode tile tool,KEEP,State doğru. Tile brush ve modlar okunuyor.
27_buildmode_tile_painted.png,Tile tool view; paint delta not visible,RECAPTURE,26 ile görsel olarak neredeyse aynı; boyanan hücre/alan seçilemiyor.
28_buildmode_tile_erased.png,Walkable submode selected; erase delta not visible,RECAPTURE,Yalnızca alt mod değişmiş. Silinen/blocked hücre sahnede net görünmüyor.
29_room_transition_portals_open.png,Room with portals/rift,KEEP_SECONDARY,"Portal/door ortamı görülüyor, fakat 'açık geçiş' durumu çok net değil. İkincil kanıt olarak kullanılabilir."
30_merchant_shop_room_stands.png,"Same empty room, no shop stands",RECAPTURE,"Merchant, stand, fiyat kartı veya shop UI görünmüyor."
31_elite_room.png,"Same room, no elite evidence",RECAPTURE,"Elite düşman, elite etiketi/affix veya özel oda durumu görünmüyor."
32_boss_spawn_full_hp_bar.png,"Boss spawned off-island, no HP bar",RECAPTURE,Boss sağda yürünebilir alanın dışında; full HP bar görünmüyor.
33_boss_mid_hp_phase_transition.png,"Same off-island boss, no phase evidence",RECAPTURE,Mid-HP bar veya faz geçiş efekti/metni görünmüyor.
34_boss_attack_residue.png,"Same off-island boss, no attack/residue",RECAPTURE,"Saldırı, telegraph veya residue görünmüyor."
35_boss_low_phase_p2.png,Skill draft over dim boss,RECAPTURE,"Boss düşük HP/P2 kanıtı yok; ödül seçimi ekranı açık, boss karanlık arka planda."
